シリーズ名・書名,発売日,著者
（成）二次元コミックマガジン　弱体化陵辱　成り下がった雑魚ヒロインにヤりたい放題！,14,しーあーる／翡翠石ほか
（成）孕ませの星,15,戦闘的越中
シリーズ名・書名,発売日,著者
あの山越えて（36・完）,16,夢路行
ナースのチカラ（１）～私たちにできること　訪問看護物語～,16,広田奈都美
ムーちゃんと手をつないで（３）～自閉症の娘が教えてくれたこと～,16,みなと鈴
加賀谷次長、狙われてます！（１）,16,小山田容子
凪のお暇（７）,16,コナリミサト
クリスタリアの高貴な義賊,16,氷栗優
海の眷属と偽りの花嫁,16,高倉知子
天地の神に背いて,16,御園えりい
約束は図書館の片隅で（３）,16,藤田麻貴
傭兵隊長の花嫁,16,長池とも子
愛人・失格（２）～嘘をもう一つだけ～,16,仲垣友恵
転生したらピンクドラゴン（２）,16,浜田翔子
セメルパルスsemelparous（１）,16,荻野純
モデルちゃんと地味マネさん（２）,16,たねこ
ゆめぐりゆりめぐり（２）,16,はづき
ロンリーガールに逆らえない（１）,16,樫風
キミオアライブ（１）,16,恵口公生
新　仮面ライダーSPIRITS（25）,16,村枝賢一／石ノ森章太郎
くにはちぶ（８）,16,各務浩章
江戸前エルフ（２）,16,樋口彰彦
左手のための二重奏（１）,16,松岡健太
今夜は月が綺麗ですが、とりあえず死ね　―last―（３）,16,榊原宗々／要マジュロ
鉄拳チンミLegends（27）,16,前川たけし
MAJOR 2nd（メジャーセカンド）（19）,16,満田拓也
switch（８）,16,波切敦
あおざくら　防衛大学校物語（16）,16,二階堂ヒカル
ポンコツちゃん検証中（４）,16,福地翼
よふかしのうた（３）,16,コトヤマ
天野めぐみはスキだらけ！（19）,16,ねこぐち
魔王城でおやすみ（14）,16,熊之股鍵次
ヨタモノサダメ　～八百八町の鑑定奇譚～（１）,16,瀬戸一里
久我山くんが朝まではなしてくれません！　～年下彼との秘密の新婚生活♥～,16,林檎めい
社長の危機をえっちな私が救いたい♥,16,小石川イオリ
新装版　官能のセンセイ,16,佐木田すい
溺愛ガテン　オトナの職業図鑑,16,アンソロジー
溺愛執事　オトナの職業図鑑,16,アンソロジー
溺愛社長　オトナの職業図鑑,16,アンソロジー
政略結婚の旦那様（仮）と恋を始めます。（３・完）,16,白雪しおん
花はどっちだ？（４）,16,小田原みづえ
風のペンション―ささやかな夢―,16,大谷博子
隼人くんと早穂ちゃんは本日もいちゃ甘。　＃シーツの上でも＃リングの上でも,16,久遠アユム
